data,produto,preco_venda,custo,margem,canal,cidade,quantidade
2024-01-01,Rede Infantil,88,34.07,53.93,Site,Jardim de Piranhas-RN,3
2024-01-01,Rede Casal,148,65.8,82.2,Instagram,Jardim de Piranhas-RN,4
2024-01-01,Rede Luxo,231,101.48,129.52,WhatsApp,Fortaleza-CE,4
2024-01-01,Rede Infantil,80,40.14,39.86,Marketplace,Jardim de Piranhas-RN,4
2024-01-01,Rede Tradicional,106,51.51,54.49,Marketplace,Brejo do Cruz-PB,4
2024-01-01,Rede Luxo,212,136.84,75.16,Site,São Bento-PB,3
2024-01-01,Rede Casal,133,89.38,43.62,Marketplace,Fortaleza-CE,1
2024-01-01,Rede Casal,131,82.16,48.84,WhatsApp,Brejo do Cruz-PB,1
2024-01-01,Rede Luxo,223,116.21,106.79,Marketplace,Brejo do Cruz-PB,2
2024-01-01,Rede Casal,133,68.18,64.82,Marketplace,Fortaleza-CE,4
2024-01-01,Rede Casal,139,88.06,50.94,WhatsApp,São Bento-PB,2
2024-01-01,Rede Viagem,115,65.94,49.06,Site,Fortaleza-CE,1
2024-01-01,Rede Infantil,88,42.73,45.27,Loja Física,São Bento-PB,3
2024-01-01,Rede Tradicional,103,47.61,55.39,Instagram,João Pessoa-PB,1
2024-01-02,Rede Luxo,244,132.94,111.06,Site,Fortaleza-CE,3
2024-01-02,Rede Casal,157,87.17,69.83,WhatsApp,Fortaleza-CE,1
2024-01-02,Rede Viagem,134,62.51,71.49,Instagram,João Pessoa-PB,1
2024-01-02,Rede Luxo,223,136.35,86.65,Site,Fortaleza-CE,3
2024-01-02,Rede Luxo,218,130.27,87.73,Marketplace,Fortaleza-CE,4
2024-01-02,Rede Viagem,131,63.5,67.5,WhatsApp,Jardim de Piranhas-RN,4
2024-01-02,Rede Infantil,89,33.45,55.55,Site,João Pessoa-PB,1
2024-01-02,Rede Infantil,72,32.58,39.42,Instagram,João Pessoa-PB,2
2024-01-02,Rede Infantil,61,40.24,20.76,Loja Física,Jardim de Piranhas-RN,2
2024-01-02,Rede Infantil,87,34.56,52.44,WhatsApp,João Pessoa-PB,4
2024-01-02,Rede Casal,157,72.98,84.02,Loja Física,São Bento-PB,1
2024-01-02,Rede Luxo,222,136.87,85.13,Instagram,São Bento-PB,2
2024-01-02,Rede Viagem,132,52.14,79.86,WhatsApp,João Pessoa-PB,2
2024-01-02,Rede Tradicional,91,45.03,45.97,Marketplace,João Pessoa-PB,1
2024-01-02,Rede Viagem,116,55.37,60.63,Marketplace,Fortaleza-CE,4
2024-01-03,Rede Viagem,131,69.48,61.52,Instagram,Fortaleza-CE,1
2024-01-03,Rede Infantil,85,45.3,39.7,WhatsApp,João Pessoa-PB,4
2024-01-03,Rede Luxo,226,131.04,94.96,Site,Brejo do Cruz-PB,2
2024-01-03,Rede Luxo,225,135.75,89.25,WhatsApp,João Pessoa-PB,2
2024-01-03,Rede Viagem,102,62.5,39.5,Instagram,Brejo do Cruz-PB,3
2024-01-03,Rede Casal,132,85.67,46.33,WhatsApp,Brejo do Cruz-PB,1
2024-01-03,Rede Tradicional,97,55.58,41.42,Instagram,Brejo do Cruz-PB,1
2024-01-03,Rede Tradicional,102,50.25,51.75,Marketplace,João Pessoa-PB,3
2024-01-03,Rede Infantil,75,42.94,32.06,Loja Física,Brejo do Cruz-PB,4
2024-01-03,Rede Tradicional,81,58.43,22.57,WhatsApp,Jardim de Piranhas-RN,1
2024-01-03,Rede Luxo,218,111.27,106.73,Instagram,João Pessoa-PB,4
2024-01-03,Rede Tradicional,103,55.82,47.18,Loja Física,Brejo do Cruz-PB,2
2024-01-03,Rede Infantil,94,36.71,57.29,Loja Física,João Pessoa-PB,1
2024-01-04,Rede Casal,131,82.37,48.63,Site,São Bento-PB,4
2024-01-04,Rede Tradicional,83,44.77,38.23,Site,Brejo do Cruz-PB,4
2024-01-04,Rede Luxo,226,112.55,113.45,WhatsApp,João Pessoa-PB,3
